sessionId;userId;timeframe;eventdate;ordernumber;itemId
150;18278;17100868;2016-05-06;16421;25911
151;NA;6454547;2016-05-06;16290;175874
156;7;1721689387;2016-05-27;21173;35324
179;NA;343001;2016-05-09;16924;31233
246;34;2311046;2016-05-09;16936;34677
312;NA;2194381;2016-04-25;13700;91196
312;NA;2194381;2016-04-25;13700;2273
322;167422;1085316;2016-05-25;20849;69167
365;87;377426862;2016-02-27;3072;10290
390;NA;2938336723;2016-04-25;13931;375404
447;160768;1866073;2016-02-02;185;26006
447;NA;7091627706;2016-04-24;13631;55275
451;113;1902420;2016-02-21;2540;25256
451;113;1902420;2016-02-21;2540;36321
451;113;1902420;2016-02-21;2540;36885
505;NA;258779;2016-03-26;7203;58132
518;NA;17227063;2016-03-26;7214;36409
518;NA;17227063;2016-03-26;7214;36181
555;NA;61383574;2016-03-26;7277;32902
555;NA;61383574;2016-03-26;7277;6871
570;177;2744869;2016-02-29;3285;4523
580;NA;328636218;2016-05-07;16435;83644
580;NA;290830900;2016-05-06;16343;35285
580;NA;324397013;2016-05-07;16343;35285
580;NA;290830900;2016-05-06;16343;381429
580;NA;324397013;2016-05-07;16343;381429
580;NA;290830900;2016-05-06;16343;376193
580;NA;324397013;2016-05-07;16343;376193
583;92816;101359830;2016-05-04;15960;9121
601;13325;696195990;2016-03-09;4232;36837
601;13325;696195990;2016-03-09;4232;70815
601;NA;5408121383;2016-05-03;15504;51438
601;NA;4293898138;2016-04-20;13093;32082
601;NA;5408121383;2016-05-03;15504;32394
625;NA;431614;2016-03-21;6158;40639
637;197;527208;2016-01-17;40;187672
637;197;527208;2016-01-17;40;148476
718;NA;3295451756;2016-03-23;6725;59965
727;244;4336068;2016-02-15;1860;12497
728;245;333390951;2016-02-16;1975;36217
859;117851;1467635;2016-06-01;22556;508083
859;117851;1467635;2016-06-01;22556;235083
859;117851;1467635;2016-06-01;22556;14641
867;120097;8845243;2016-02-12;1567;1189
867;120097;5909404;2016-02-12;1561;65407
877;NA;5612604;2016-06-01;22412;383029
881;NA;7033774;2016-06-01;22410;68718
881;NA;7033774;2016-06-01;22410;177664
881;NA;7033774;2016-06-01;22410;379665
912;352;600248;2016-02-25;2918;34717
918;358;875693;2016-01-20;59;61
918;358;875693;2016-01-20;59;16288
928;368;291359;2016-01-20;57;624
939;NA;29676821;2016-05-08;16775;86703
939;NA;29676821;2016-05-08;16775;178502
939;NA;29676821;2016-05-08;16775;79334
946;100042;404708856;2016-05-14;18260;380584
1094;NA;7485294;2016-04-30;15144;376970
1102;413;150929;2016-02-09;993;9617
1120;NA;926899;2016-03-18;5669;1914
1176;444;2356065;2016-03-17;5492;21779
1178;38957;1979266075;2016-03-03;3672;69765
1186;447;10262085;2016-01-23;75;4151
1186;447;10262085;2016-01-23;75;30172
1186;447;10262085;2016-01-23;75;392080
1237;489;753924;2016-02-02;150;58776
1243;494;5241008;2016-02-13;1713;24098
1271;NA;3459523034;2016-03-28;7558;129007
1280;531;1994166;2016-02-13;1698;47296
1285;NA;312770;2016-03-31;8049;6510
1290;21522;6252389;2016-03-12;4531;33572
1290;21522;6252389;2016-03-12;4531;136375
1300;548;509962;2016-02-13;1718;89212
1328;NA;309715;2016-04-01;8212;19924
1346;576;6117851;2016-03-12;4642;3557
1407;609;8581850;2016-03-13;4696;12841
1407;609;8581850;2016-03-13;4696;59028
1407;609;8581850;2016-03-13;4696;108240
1407;609;11546307;2016-03-13;4709;80848
1407;609;11546307;2016-03-13;4709;59509
1407;609;11546307;2016-03-13;4709;291907
1407;609;11546307;2016-03-13;4709;60818
1407;18290;14738541;2016-03-13;4723;39286
1407;18290;14738541;2016-03-13;4723;84010
1407;18290;14738541;2016-03-13;4723;247161
1407;609;11546307;2016-03-13;4709;400696
1472;670;1700799;2016-02-22;2590;30480
1669;799;23762721;2016-03-02;3581;52575
1698;816;410953232;2016-03-06;3942;34077
1750;827;784858;2016-03-15;5225;3557
1752;829;4422994;2016-03-15;5093;124769
1752;829;4422994;2016-03-15;5093;770
1795;NA;1877758;2016-04-30;15184;47296
1814;NA;1542638;2016-04-27;14487;2843
1832;17602;2434084;2016-03-16;5424;87875
1859;NA;514829;2016-04-27;14333;31458
1864;NA;1046077;2016-05-26;20934;30626
1867;NA;1028311;2016-05-26;20939;58637
1868;NA;4710457;2016-05-26;21034;296438
1868;NA;4710457;2016-05-26;21034;162130
1871;872;247227;2016-01-30;120;17008
1962;917;5559328;2016-02-27;3125;62241
2011;NA;1276523720;2016-05-03;15627;35199
2020;NA;342159;2016-05-05;16179;16882
2038;938;7324045;2016-03-16;5328;33572
2038;938;7324045;2016-03-16;5328;30294
2038;938;7324045;2016-03-16;5328;60638
2038;938;7324045;2016-03-16;5328;83672
2067;NA;2553383;2016-04-16;11913;14462
2110;NA;1019771;2016-05-31;22220;47296
2158;966;188740167;2016-02-18;2228;31986
2158;966;188740167;2016-02-18;2228;11338
2158;966;188740167;2016-02-18;2228;30914
2158;966;188740167;2016-02-18;2228;118410
2158;966;188740167;2016-02-18;2228;35380
2158;966;188740167;2016-02-18;2228;128694
2158;966;188740167;2016-02-18;2228;47286
2175;NA;427923;2016-05-31;22075;377285
2223;982;1304094;2016-05-31;22234;9480
2229;983;751284;2016-06-01;22360;49562
2252;994;5344020;2016-04-10;10268;12974
2268;NA;2552985;2016-04-10;10430;10858
2268;NA;2552985;2016-04-10;10430;275233
2268;NA;2552985;2016-04-10;10430;162121
2278;NA;958724;2016-05-12;17646;90306
2340;1050;13089302;2016-01-19;49;2561
2341;1051;1676859;2016-01-19;46;13283
2368;30327;6704253;2016-04-06;9325;37575
2368;30327;6704253;2016-04-06;9325;396357
2373;NA;610447;2016-04-07;9589;403
2379;NA;6292519;2016-04-06;9399;388001
2379;NA;6292519;2016-04-06;9399;102411
2379;NA;6292519;2016-04-06;9399;391460
2385;1070;4127870;2016-02-11;1482;9654
2385;1070;4127870;2016-02-11;1482;84688
2426;1090;526526;2016-03-03;3748;30350
2485;NA;813101;2016-04-26;14015;41580
2493;1129;367438751;2016-02-18;2247;3191
2499;1134;71216191;2016-03-31;8054;70717
2499;1134;71216191;2016-03-31;8054;17590
2499;1134;71216191;2016-03-31;8054;35778
2499;1134;71216191;2016-03-31;8054;47230
2544;1172;407589;2016-03-11;4450;9856
2550;1178;881200;2016-02-14;1763;6744
2560;NA;1986443;2016-04-12;11010;30238
2566;NA;1730749;2016-04-13;11364;119891
2566;NA;1730749;2016-04-13;11364;33818
2566;NA;2924878422;2016-05-17;19031;90915
2566;NA;1730749;2016-04-13;11364;387
2566;NA;1730749;2016-04-13;11364;8081
2566;NA;415031719;2016-04-18;12551;972
2566;NA;415031719;2016-04-18;12551;264523
2566;NA;415031719;2016-04-18;12551;94212
2566;NA;415031719;2016-04-18;12551;110919
2566;NA;2924878422;2016-05-17;19031;23039
2566;NA;415031719;2016-04-18;12551;184403
2572;1190;1186250;2016-03-14;4952;58007
2572;1190;1186250;2016-03-14;4952;171652
2575;1193;4876327;2016-02-14;1766;33202
2620;NA;2950680;2016-04-12;10805;53095
2620;NA;25845245;2016-04-12;10933;105612
2620;NA;2950680;2016-04-12;10805;34985
2620;NA;25845245;2016-04-12;10933;160986
2620;NA;2950680;2016-04-12;10805;36975
2620;NA;2950680;2016-04-12;10805;51376
2620;NA;25845245;2016-04-12;10933;64951
2620;NA;2950680;2016-04-12;10805;76896
2620;NA;25845245;2016-04-12;10933;125595
2620;NA;2950680;2016-04-12;10805;175409
2620;NA;25845245;2016-04-12;10933;376585
2620;NA;25845245;2016-04-12;10933;151348
2620;NA;2950680;2016-04-12;10805;36342
2620;NA;2950680;2016-04-12;10805;79900
2620;NA;25845245;2016-04-12;10933;131466
2645;NA;2416264;2016-04-12;11045;86145
2679;NA;2646384;2016-05-24;20566;49562
2707;1266;158665;2016-01-15;36;8756
2713;NA;1700361;2016-04-13;11335;125043
2742;1276;2829063;2016-05-24;20384;31631
2760;1282;1997000967;2016-03-10;4291;247827
2773;1287;2860348;2016-03-10;4298;31998
2778;NA;1257426;2016-03-27;7487;113021
2778;NA;1257426;2016-03-27;7487;384913
2840;NA;172944;2016-04-04;8954;58591
2876;NA;1490169;2016-04-13;11100;30580
2879;NA;1187493;2016-04-13;11305;12965
2879;NA;1187493;2016-04-13;11305;6649
2969;1321;484448190;2016-04-01;8241;81439
2969;1321;1085611605;2016-04-08;9855;161033
3084;NA;7543371;2016-03-24;6837;35472
3086;21687;2544183;2016-03-25;6955;134313
3086;21687;2544183;2016-03-25;6955;22320
3086;21687;2544183;2016-03-25;6955;55531
3104;1370;1764686;2016-02-24;2849;12135
3104;1370;74456925;2016-02-25;2934;124345
3112;NA;1523015;2016-04-16;12085;595
3112;NA;913880690;2016-04-27;14298;380930
3112;NA;1523015;2016-04-16;12085;130743
3112;NA;913880690;2016-04-27;14298;142819
3112;NA;913880690;2016-04-27;14298;57578
3112;NA;913880690;2016-04-27;14298;376718
3138;NA;2511317;2016-04-15;11675;43142
3158;1398;404360;2016-02-26;2975;78375
3175;NA;3402807;2016-04-01;8240;79312
3175;NA;3402807;2016-04-01;8240;8424
3175;NA;3402807;2016-04-01;8240;36252
3183;NA;180031;2016-03-25;7093;5384
3261;NA;1619871;2016-04-01;8349;176017
3350;NA;429701809;2016-05-25;20811;85515
3408;1485;211376;2016-03-01;3448;32320
3408;1485;2279581;2016-03-01;3453;171995
3408;1485;2279581;2016-03-01;3453;219114
3408;1485;118915;2016-03-01;3446;73628
3408;1485;2046294;2016-03-01;3452;4362
3449;1521;8172341;2016-05-08;16735;34192
3453;1523;1335473;2016-03-01;3486;35772
3526;1560;1033348213;2016-05-08;16787;86024
3526;1560;1033348213;2016-05-08;16787;93941
3526;1560;1033348213;2016-05-08;16787;56813
3526;1560;1033348213;2016-05-08;16787;36118
3526;1560;1033348213;2016-05-08;16787;14328
3526;1560;1033348213;2016-05-08;16787;390693
3526;1560;1033348213;2016-05-08;16787;161095
3618;1639;4445196;2016-02-09;1154;35380
3618;1639;2393550;2016-02-09;1145;36265
3646;NA;634266;2016-05-28;21516;12405
3646;NA;634266;2016-05-28;21516;57307
3646;NA;634266;2016-05-28;21516;383034
3669;NA;606467;2016-05-28;21460;43791
3669;NA;606467;2016-05-28;21460;569478
3669;NA;606467;2016-05-28;21460;20475
3686;NA;154884;2016-04-05;9260;9989
3698;1660;372643753;2016-04-30;15177;178919
3698;1660;372643753;2016-04-30;15177;376727
3730;NA;3113654875;2016-05-11;17460;329760
3736;NA;16937278;2016-05-22;19937;16486
3759;NA;686405760;2016-05-30;22019;93789
3769;NA;6760973095;2016-04-24;13619;218229
3770;NA;880571;2016-04-05;9086;79686
3803;1686;1199320;2016-02-22;2571;11126
3805;NA;974126;2016-05-22;19810;133365
3810;NA;322232479;2016-04-17;12253;82265
3810;NA;3282653414;2016-05-21;19772;4732
3810;NA;3282653414;2016-05-21;19772;390826
3814;NA;293085543;2016-05-25;20801;177170
3818;1691;1306927;2016-05-22;19835;22385
3818;1691;1306927;2016-05-22;19835;32082
3836;1694;3325514876;2016-05-27;21279;43999
3839;NA;6786093;2016-05-27;21179;85571
3866;NA;2130596;2016-05-27;21353;7004
3875;NA;1531011;2016-04-18;12564;36151
3876;NA;546863;2016-04-18;12381;30626
3876;NA;546863;2016-04-18;12381;22413
3894;NA;9644188;2016-04-28;14680;259870
3989;NA;303506476;2016-05-02;15328;39196
3989;NA;11733220;2016-04-28;14828;1706
3989;NA;11733220;2016-04-28;14828;22547
3993;NA;15669964;2016-04-28;14782;25043
3995;NA;94711856;2016-04-29;14631;29167
3995;NA;450516;2016-04-28;14631;29167
4006;NA;4119317705;2016-05-07;16451;15488
4028;NA;1375219;2016-04-28;14718;667
4067;1785;1153959;2016-02-03;266;33904
4072;1790;550501;2016-02-19;2337;40564
4072;1790;550501;2016-02-19;2337;31883
4072;1790;550501;2016-02-19;2337;133719
4091;NA;9165801;2016-05-30;21966;79694
4126;NA;2724069;2016-05-30;21820;304963
4126;NA;2724069;2016-05-30;21820;103388
4129;NA;278359;2016-05-30;21770;31557
4207;NA;6275258;2016-04-07;9769;5584
4252;1842;9626859;2016-03-07;4035;54906
4262;NA;3750472;2016-05-02;15455;1193
4309;1880;1466182;2016-01-22;71;106341
4309;1880;547324;2016-01-22;70;12449
4436;NA;303705;2016-04-18;12438;33215
4436;NA;1861861;2016-04-18;12447;377287
4474;1977;866559;2016-02-11;1503;163625
4474;1977;866559;2016-02-11;1503;4328
4474;1977;866559;2016-02-11;1503;7104
4475;1978;7722381;2016-02-11;1466;10530
4475;1978;7722381;2016-02-11;1466;19909
4475;1978;7722381;2016-02-11;1466;445
4475;1978;7722381;2016-02-11;1466;36164
4475;1978;7722381;2016-02-11;1466;14167
4475;1978;7722381;2016-02-11;1466;209871
4491;1982;1035539;2016-01-07;17;94065
4535;1997;3352028;2016-04-18;12439;35512
4536;NA;2003197;2016-04-18;12577;29417
4539;NA;605305;2016-05-23;20232;380247
4542;NA;9086221;2016-05-23;20104;7473
4542;NA;9086221;2016-05-23;20104;43999
4542;NA;9086221;2016-05-23;20104;258678
4551;NA;82074151;2016-05-24;20509;47801
4575;NA;179180122;2016-05-26;20953;72562
4575;NA;176072258;2016-05-26;20943;72562
4575;NA;978493;2016-05-24;20366;378914
4581;NA;5688379;2016-05-23;20033;49112
4582;NA;259995400;2016-05-26;21051;36155
4629;NA;2462390;2016-03-23;6676;11141
4629;NA;2462390;2016-03-23;6676;25441
4640;NA;301049;2016-03-23;6615;8453
4644;2024;1887224;2016-02-01;135;30895
4644;2024;1887224;2016-02-01;135;13902
4644;2024;1887224;2016-02-01;135;1907
4652;NA;1106797633;2016-03-23;6515;4335
4652;NA;692641522;2016-03-18;5702;2809
4681;2044;1123279;2016-03-05;3906;21814
4752;2091;78273;2016-01-02;13;101475
4948;2285;4449090;2016-01-07;16;142581
4948;2285;4449090;2016-01-07;16;14291
5109;2446;2563051;2016-01-08;18;136084
5145;2482;12225506;2016-01-10;23;14312
5145;2482;12225506;2016-01-10;23;8644
5214;2551;7713227;2016-01-10;22;32163
5246;15422;1712635;2016-01-10;24;35772
5343;2680;1117564;2016-01-12;31;31923
5358;2695;2073299405;2016-02-29;3294;5583
5358;2695;13559245;2016-02-05;478;13729
5359;2696;57348667;2016-02-06;611;12841
5359;2696;2246808;2016-02-05;557;7815
5359;2696;57348667;2016-02-06;611;94040
5359;2696;57348667;2016-02-06;611;31484
5359;2696;57348667;2016-02-06;611;10265
5359;2696;57348667;2016-02-06;611;55275
5359;2696;2246808;2016-02-05;557;5454
5359;2696;57348667;2016-02-06;611;35736
5359;2696;57348667;2016-02-06;611;13316
5386;2723;121085165;2016-01-15;37;129920
5386;2723;912165;2016-01-14;34;30942
5386;2723;912165;2016-01-14;34;79584
5551;2888;990431;2016-01-15;35;62498
5666;3003;4402560923;2016-03-09;4190;89212
5770;3107;414077954;2016-01-22;67;38645
5793;3130;2082946;2016-01-18;42;11664
5793;3130;2082946;2016-01-18;42;42163
5793;3130;2082946;2016-01-18;42;35051
5793;3130;2082946;2016-01-18;42;35379
5793;3130;2082946;2016-01-18;42;131252
5808;3145;1500662;2016-01-19;47;53305
5815;3152;1132209846;2016-02-01;132;420272
5815;3152;1132209846;2016-02-01;132;228056
5862;3199;1667275;2016-01-19;51;45992
5862;3199;1667275;2016-01-19;51;68212
5862;3199;1667275;2016-01-19;51;458202
5916;3253;102780;2016-01-19;45;32357
5918;3255;209778;2016-01-19;43;5665
5918;3255;209778;2016-01-19;43;29479
5989;3326;24401288;2016-01-19;50;69079
5996;3333;344482;2016-01-20;61;78059
6065;3402;625304;2016-01-20;52;32902
6092;3429;1812818681;2016-02-10;1233;2312
6105;3442;1163667;2016-01-20;54;186300
6290;3627;219974;2016-01-21;66;11664
6290;3627;219974;2016-01-21;66;35051
